date,average atmospheric pressure over land,mean pressure at sea level,total precipitation,Total precipitation for up to 1 hour,Total precipitation for up to 10 minutes,average temperature,Highest temperature,Lowest Temperature,average vapor pressure,湿度(％)_平均_平均,湿度(％)_最小_値
12-13,1021.2,1024.1,--,0.0,--,10.8,15.1,7.3,6.6,52,27
12-14,1024.3,1027.2,--,--,--,10.2,14.1,6.5,7.7,62,44
12-15,1011.8,1014.8,1.0,0.5,0.5,11.0,20.2,7.1,10.9,82,65
12-16,1001.4,1004.2,0.0,0.0,0.0,17.0,21.1,10.8,13.9,71,51
12-17,1007.5,1010.4,--,--,--,11.2,17.2,5.9,5.1,36,20
12-18,1020.5,1023.5,--,--,--,7.0,11.5,3.8,3.6,36,23
12-19,1020.2,1023.2,--,--,--,7.0,10.6,3.4,5.4,53,35
12-20,1008.7,1011.6,--,--,--,8.5,13.5,4.6,6.5,59,39
12-21,1008.3,1011.3,--,--,--,7.7,13.1,3.3,4.2,41,21
12-22,1015.0,1018.0,--,--,--,5.3,10.1,1.5,3.4,38,24
12-23,1023.8,1026.9,--,--,--,5.0,10.6,0.1,4.0,47,24
12-24,1023.9,1027.0,--,--,--,4.9,8.8,2.0,4.7,55,41
12-25,1018.2,1021.2,--,--,--,6.3,12.1,1.0,5.2,56,35
12-26,1019.2,1022.2,--,--,--,7.6,13.2,2.6,6.0,58,33
12-27,1022.5,1025.5,--,--,--,8.4,12.6,4.3,5.4,50,39
12-28,1022.6,1025.6,--,--,--,7.0,10.8,4.4,5.6,56,41
12-29,1018.2,1021.2,--,--,--,7.8,13.8,2.2,6.3,61,37
12-30,1017.3,1020.3,--,--,--,9.0,14.4,4.4,7.2,63,40
12-31,1004.0,1006.9,1.5,1.0,0.5,9.2,12.7,5.8,9.2,79,62
1-1,1015.8,1018.8,--,--,--,9.2,12.5,4.4,5.5,48,31
1-2,1017.4,1020.4,0.0,0.0,0.0,6.1,9.2,2.8,6.1,65,45
1-3,1010.5,1013.5,0.0,0.0,0.0,7.4,11.0,2.8,7.4,72,53
1-4,1009.9,1012.9,0.0,0.0,0.0,9.7,15.3,6.3,6.8,58,31
1-5,1016.0,1019.0,--,--,--,7.4,13.6,2.9,5.9,57,40
1-6,1009.3,1012.3,--,--,--,9.1,15.6,3.0,6.9,61,39
1-7,1005.2,1008.2,0.0,0.0,0.0,8.3,12.7,5.7,5.7,53,29
1-8,1014.7,1017.7,--,--,--,5.4,10.2,2.7,3.7,43,19
1-9,1014.3,1017.3,--,--,--,5.4,11.0,1.5,4.4,49,36
1-10,1009.6,1012.6,--,--,--,7.2,12.3,1.7,5.2,52,37
1-11,1010.7,1013.7,--,--,--,4.8,7.2,1.8,4.3,51,35
1-12,1006.1,1009.1,--,--,--,7.1,13.7,0.1,5.3,53,38
1-13,1008.6,1011.6,2.0,1.5,1.0,5.9,11.7,1.2,5.4,59,38
1-14,1016.6,1019.6,--,--,--,6.4,10.5,0.2,4.8,49,35
